non_ipa,ipa,chart,height/manner,place/color,misc1,misc2
gƒbw,ɡ͡bʷ,consonant,stop,labiovelar,voiced,labialized
AUTO(dl),dlʷ,consonant,stop,lateral,voiced,labialized
ïw,ɟʷ,consonant,stop,palatal,voiced,labialized
AUTO(ɢ),ɢʷ,consonant,stop,uvular,voiced,labialized
gW,ɡʷ,consonant,stop,velar,voiced,labialized
AUTO(ɡ͡ɓ),ɡʷ͡ɓ,consonant,stop-to-implosive,labiovelar,voiced,labialized
rW,rʷ,consonant,trill,alveolar,voiced,labialized
rƒÄw,r͡ɣw,consonant,trill-to-affricate,alveolar-to-velar,voiced,labialized
AUTO(ʕʷ),ʕʰʷ,consonant,fricative,pharyngeal,voiced,labialized_aspirated
zƒwÄw,zʷ͡ɣw,consonant,fricative,alveolar-to-velar,voiced,labialized_labialized
AUTO(dzʷ),dzʲʷ,consonant,affricate,alveolar,voiced,labialized_palatalized
AUTO(dʒʷ),dʒʲʷ,consonant,affricate,postalveolar,voiced,labialized_palatalized
AUTO(zʷ),zʲʷ,consonant,fricative,alveolar,voiced,labialized_palatalized
AUTO(ʒʷ),ʒʲʷ,consonant,fricative,postalveolar,voiced,labialized_palatalized
AUTO(ʁʷ),ʁʲʷ,consonant,fricative,uvular,voiced,labialized_palatalized
AUTO(ɣʷ),ɣʲʷ,consonant,fricative,velar,voiced,labialized_palatalized
AUTO(lʷ),lʲʷ,consonant,lateral-approximant,lateral,voiced,labialized_palatalized
AUTO(nʷ),nʲʷ,consonant,nasal,alveolar,voiced,labialized_palatalized
AUTO(mʷ),mʲʷ,consonant,nasal,bilabial,voiced,labialized_palatalized
AUTO(dʷ),dʲʷ,consonant,stop,alveolar,voiced,labialized_palatalized
AUTO(bʷ),bʲʷ,consonant,stop,bilabial,voiced,labialized_palatalized
AUTO(ɡʷ),ɡʲʷ,consonant,stop,velar,voiced,labialized_palatalized
AUTO(rʷ),rʲʷ,consonant,trill,alveolar,voiced,labialized_palatalized
AUTO(ɡʷ),ɡʷˁ,consonant,stop,velar,voiced,labialized_pharyngealized
nzw,nzʷ,consonant,fricative,alveolar,voiced,labialized_prenasalized
ndW,ⁿdʷ,consonant,stop,alveolar,voiced,labialized_prenasalized
mbW,ᵐbʷ,consonant,stop,bilabial,voiced,labialized_prenasalized
ngW,ᵑɡʷ,consonant,stop,velar,voiced,labialized_prenasalized
Ngw,ᵑɡʷ,consonant,stop,velar,voiced,labialized_prenasalized
NEW,ʕ̩ʷ,consonant,fricative,pharyngeal,voiced,labialized_syllabic
Éw,lˠʷ,consonant,lateral-approximant,lateral,voiced,labialized_velarized
düç,dʑɥ,consonant,affricate,alveolopalatal,voiced,labiopalatalized
