non_ipa,ipa,chart,height/manner,place/color,misc1,misc2
q’³w,qʼˤʷ,consonant,ejective,uvular,voiceless,pharyngealized_labialized
q'³w,qʼˤʷ,consonant,ejective,uvular,voiceless,pharyngealized_labialized
X³w,χˤʷ,consonant,fricative,uvular,voiceless,pharyngealized_labialized
q³w,qˤʷ,consonant,stop,uvular,voiceless,pharyngealized_labialized
ts,ts,consonant,affricate,alveolar,voiceless,plain
tT,tθ,consonant,affricate,alveolar-to-interdental,voiceless,plain
tC,tç,consonant,affricate,alveolar-to-palatal,voiceless,plain
t§,tʂ,consonant,affricate,alveolar-to-retroflex,voiceless,plain
tx,tx,consonant,affricate,alveolar-to-velar,voiceless,plain
tþ,tɕ,consonant,affricate,alveolopalatal,voiceless,plain
p¸,pɸ,consonant,affricate,bilabial,voiceless,plain
pƒs,ps,consonant,affricate,bilabial-to-alveolar,voiceless,plain
ps,ps,consonant,affricate,bilabial-to-alveolar,voiceless,plain
t5s5,t̪s̪,consonant,affricate,dental,voiceless,plain
t5S,t̪ʃ,consonant,affricate,dental-to-postalveolar,voiceless,plain
t5T,t̪θ,consonant,affricate,interdental,voiceless,plain
pf,pf,consonant,affricate,labiodental,voiceless,plain
t6s6,t̻s̻,consonant,affricate,laminal-alveolar,voiceless,plain
t6þ,t̻ɕ,consonant,affricate,laminal-alveolar-to-alveolopalatal,voiceless,plain
t6S6,t̻ʃ̻,consonant,affricate,laminal-postalveolar,voiceless,plain
tÂ,tɬ,consonant,affricate,lateral,voiceless,plain
cC,cç,consonant,affricate,palatal,voiceless,plain
cþ,cɕ,consonant,affricate,palatal-to-alveolopalatal,voiceless,plain
cS,cʃ,consonant,affricate,palatal-to-postalveolar,voiceless,plain
tS,tʃ,consonant,affricate,postalveolar,voiceless,plain
ÿ§,ʈʂ,consonant,affricate,retroflex,voiceless,plain
qX,qχ,consonant,affricate,uvular,voiceless,plain
NEW,kx,consonant,affricate,velar,voiceless,plain
tsx,tsx,consonant,affricate-to-fricative,alveolar-to-velar,voiceless,plain
tSƒk,tʃ͡k,consonant,affricate-to-stop,postalveolar-to-velar,voiceless,plain
AUTO(ɹ),ɹ̥,consonant,approximant,alveolar,voiceless,plain
AUTO(ʋ),ʋ̥,consonant,approximant,labiodental,voiceless,plain
ç8,ɥ̥,consonant,approximant,labiopalatal,voiceless,plain
AUTO(w),w̥,consonant,approximant,labiovelar,voiceless,plain
w8,ʍ,consonant,approximant,labiovelar,voiceless,plain
j*,j̥,consonant,approximant,palatal,voiceless,plain
AUTO(ɻ),ɻ̥,consonant,approximant,retroflex,voiceless,plain
—,ǃ,consonant,click,alveolar,voiceless,plain
‡,ʘ,consonant,click,bilabial,voiceless,plain
–,ǀ,consonant,click,dental,voiceless,plain
Ž,ǀ,consonant,click,dental,voiceless,plain
’,ǁ,consonant,click,lateral,voiceless,plain
„,ǁ,consonant,click,lateral,voiceless,plain
œ,ǂ,consonant,click,palatoalveolar,voiceless,plain
t'/ë,t',consonant,ejective,alveolar,voiceless,plain
t',tʼ,consonant,ejective,alveolar,voiceless,plain
t’,tʼ,consonant,ejective,alveolar,voiceless,plain
p',pʼ,consonant,ejective,bilabial,voiceless,plain
p’,pʼ,consonant,ejective,bilabial,voiceless,plain
t5',t̪ʼ,consonant,ejective,dental,voiceless,plain
t5ʼ,t̪ʼ,consonant,ejective,dental,voiceless,plain
c',cʼ,consonant,ejective,palatal,voiceless,plain
c’,cʼ,consonant,ejective,palatal,voiceless,plain
q',qʼ,consonant,ejective,uvular,voiceless,plain
q’,qʼ,consonant,ejective,uvular,voiceless,plain
k',kʼ,consonant,ejective,velar,voiceless,plain
k’,kʼ,consonant,ejective,velar,voiceless,plain
AUTO(ɾ),ɾ̥,consonant,flap,alveolar,voiceless,plain
AUTO(ɽ),ɽ̥,consonant,flap,retroflex,voiceless,plain
s,s,consonant,fricative,alveolar,voiceless,plain
þ,ɕ,consonant,fricative,alveolopalatal,voiceless,plain
¸,ɸ,consonant,fricative,bilabial,voiceless,plain
s5,s̪,consonant,fricative,dental,voiceless,plain
NEW,ʜ,consonant,fricative,epiglottal,voiceless,plain
h,h,consonant,fricative,glottal,voiceless,plain
T,θ,consonant,fricative,interdental,voiceless,plain
f,f,consonant,fricative,labiodental,voiceless,plain
fS,fʃ,consonant,fricative,labiodental-to-postalveolar,voiceless,plain
xƒ¸,x͡ɸ,consonant,fricative,labiovelar,voiceless,plain
s6,s̻,consonant,fricative,laminal-alveolar,voiceless,plain
Â,ɬ,consonant,fricative,lateral,voiceless,plain
C,ç,consonant,fricative,palatal,voiceless,plain
ð,ħ,consonant,fricative,pharyngeal,voiceless,plain
S,ʃ,consonant,fricative,postalveolar,voiceless,plain
NEW_PARAMETER,x̠,consonant,fricative,postvelar,voiceless,plain
s2,s̞,consonant,fricative,retracted_alveolar,voiceless,plain
§,ʂ,consonant,fricative,retroflex,voiceless,plain
AUTO(ʁ),ʁ̥,consonant,fricative,uvular,voiceless,plain
X,χ,consonant,fricative,uvular,voiceless,plain
x,x,consonant,fricative,velar,voiceless,plain
StS,ʃtʃ,consonant,fricative-to-affricate,postalveolar,voiceless,plain
AUTO(ɗ),ɗ̥,consonant,implosive,alveolar,voiceless,plain
¹,ɓ̥,consonant,implosive,bilabial,voiceless,plain
‚,ʄ̥,consonant,implosive,palatal,voiceless,plain
ÿej,ɖ˞,consonant,implosive,retroflex,voiceless,plain
Ï8,ɠ̥,consonant,implosive,velar,voiceless,plain
AUTO(l̪),l̪̥,consonant,lateral-approximant,dental,voiceless,plain
AUTO(l̪),l̥̪,consonant,lateral-approximant,dental,voiceless,plain
l8,l̥,consonant,lateral-approximant,lateral,voiceless,plain
´8,ʎ̥,consonant,lateral-approximant,palatal,voiceless,plain
AUTO(ɭ),ɭ̥,consonant,lateral-approximant,retroflex,voiceless,plain
n8,n̥,consonant,nasal,alveolar,voiceless,plain
m8,m̥,consonant,nasal,bilabial,voiceless,plain
AUTO(n̪),n̪̥,consonant,nasal,dental,voiceless,plain
ø8,ɲ̥,consonant,nasal,palatal,voiceless,plain
ø¥,ɲ̥,consonant,nasal,palatal,voiceless,plain
AUTO(ɳ),ɳ̥,consonant,nasal,retroflex,voiceless,plain
AUTO(ɴ),ɴ̥,consonant,nasal,uvular,voiceless,plain
N8,ŋ̥,consonant,nasal,velar,voiceless,plain
Dn,ðn,consonant,nasal-spirant,interdental,voiceless,plain
t,t,consonant,stop,alveolar,voiceless,plain
p,p,consonant,stop,bilabial,voiceless,plain
pƒt,p͡t,consonant,stop,bilabial-to-alveolar,voiceless,plain
pƒk,p͡k,consonant,stop,bilabial-to-velar,voiceless,plain
AUTO(d̪),d̪̥,consonant,stop,dental,devoiced,plain
t5,t̪,consonant,stop,dental,voiceless,plain
t5ƒc,t̪͡c,consonant,stop,dental-to-palatal,voiceless,plain
t5ƒk,t̪͡k,consonant,stop,dental-to-velar,voiceless,plain
NEW,ʢ,consonant,stop,epiglottal,voiceless,plain
/,ʔ,consonant,stop,glottal,voiceless,plain
AUTO(ʔ),ʔ̥,consonant,stop,glottal,voiceless,plain
kƒp,k͡p,consonant,stop,labiovelar,voiceless,plain
kp,k͡p,consonant,stop,labiovelar,voiceless,plain
NEW,t̻,consonant,stop,laminal-alveolar,voiceless,plain
tl,tl,consonant,stop,lateral,voiceless,plain
AUTO(tl),tl̥,consonant,stop,lateral,voiceless,plain
c,c,consonant,stop,palatal,voiceless,plain
NEW_PARAMETER,k̠,consonant,stop,postvelar,voiceless,plain
NEW_PARAMETER,k̟,consonant,stop,prevelar,voiceless,plain
ÿ,ʈ,consonant,stop,retroflex,voiceless,plain
AUTO(ɢ),ɢ̥,consonant,stop,uvular,voiceless,plain
q,q,consonant,stop,uvular,voiceless,plain
k,k,consonant,stop,velar,voiceless,plain
pƒts,p͡ts,consonant,stop-to-affricate,bilabial-to-alveolar,voiceless,plain
r8,r̥,consonant,trill,alveolar,voiceless,plain
r¥,r̥,consonant,trill,alveolar,voiceless,plain
AUTO(ʙ),ʙ̥,consonant,trill,bilabial,voiceless,plain
AUTO(ʀ),ʀ̥,consonant,trill,uvular,voiceless,plain
tn,tⁿ,consonant,stop,alveolar,voiceless,postnasalized
pm,pᵐ,consonant,stop,bilabial,voiceless,postnasalized
t5n5,t̪ⁿ,consonant,stop,dental,voiceless,postnasalized
cø,c,consonant,stop,palatal,voiceless,postnasalized
ÿ÷,ʈⁿ,consonant,stop,retroflex,voiceless,postnasalized
kN,kᵑ,consonant,stop,velar,voiceless,postnasalized
NEW,ˀts,consonant,affricate,alveolar,voiceless,preglottalized
‘t,ʔt,consonant,stop,alveolar,voiceless,preglottalized
NEW,ˀt,consonant,stop,alveolar,voiceless,preglottalized
‘p,ʔp,consonant,stop,bilabial,voiceless,preglottalized
NEW,ˀp,consonant,stop,bilabial,voiceless,preglottalized
NEW,ˀq,consonant,stop,uvular,voiceless,preglottalized
‘k,ʔk,consonant,stop,velar,voiceless,preglottalized
NEW,ˀk,consonant,stop,velar,voiceless,preglottalized
NEW,ˀkʷ,consonant,stop,velar,voiceless,preglottalized_labialized
nts,ⁿts,consonant,affricate,alveolar,voiceless,prenasalized
nt¸,ⁿtɸ,consonant,affricate,alveolar-to-bilabial,voiceless,prenasalized
ntÂ,ⁿtɬ,consonant,affricate,lateral,voiceless,prenasalized
ntS,ⁿtʃ,consonant,affricate,postalveolar,voiceless,prenasalized
n—,nǃ,consonant,click,alveolar,voiceless,prenasalized
nŽ,ⁿǀ,consonant,click,dental,voiceless,prenasalized
n–,nǀ,consonant,click,dental,voiceless,prenasalized
n„,nǁ,consonant,click,lateral,voiceless,prenasalized
nœ,nǂ,consonant,click,palatoalveolar,voiceless,prenasalized
n5t5',n̪t̪ʼ,consonant,ejective,dental,voiceless,prenasalized
n5t5’,n̪t̪ʼ,consonant,ejective,dental,voiceless,prenasalized
ns,ⁿs,consonant,fricative,alveolar,voiceless,prenasalized
mf,ᵐf,consonant,fricative,labiodental,voiceless,prenasalized
nÂ,ⁿɬ,consonant,fricative,lateral,voiceless,prenasalized
øS,ⁿʃ,consonant,fricative,postalveolar,voiceless,prenasalized
n2s2,n̞s̞,consonant,fricative,retracted_alveolar,voiceless,prenasalized
AUTO(ⁿd),ⁿd̥,consonant,stop,alveolar,voiceless,prenasalized
nt,ⁿt,consonant,stop,alveolar,voiceless,prenasalized
mp,ᵐp,consonant,stop,bilabial,voiceless,prenasalized
n5t5,n̪t̪,consonant,stop,dental,voiceless,prenasalized
øc,ⁿc,consonant,stop,palatal,voiceless,prenasalized
nc,ⁿc,consonant,stop,palatal,voiceless,prenasalized
AUTO(ᵑɡ),ᵑɡ̥,consonant,stop,velar,voiceless,prenasalized
Nk,ᵑk,consonant,stop,velar,voiceless,prenasalized
NEW,ᵐʙ̥,consonant,trill,bilabial,voiceless,prenasalized
AUTO(nǀ),nǀʰ,consonant,click,dental,voiceless,prenasalized_aspirated
AUTO(nǁ),nǁʰ,consonant,click,lateral,voiceless,prenasalized_aspirated
AUTO(nǂ),nǂʰ,consonant,click,palatoalveolar,voiceless,prenasalized_aspirated
AUTO(n̪t̪ʼ),n̪t̪ʼʷ,consonant,ejective,dental,voiceless,prenasalized_labialized
AUTO(ⁿs),ⁿsʷ,consonant,fricative,alveolar,voiceless,prenasalized_labialized
AUTO(ⁿɬ),ⁿɬʷ,consonant,fricative,lateral,voiceless,prenasalized_labialized
AUTO(n̞s̞),n̞s̞ʷ,consonant,fricative,retracted_alveolar,voiceless,prenasalized_labialized
p<,p<,consonant,click,bilabial,voiceless,pulmonic-ingressive
—q,ǃq,consonant,click,alveolar,voiceless,q-accompaniment
‡q,ʘq,consonant,click,bilabial,voiceless,q-accompaniment
–q,ǀq,consonant,click,dental,voiceless,q-accompaniment
„q,ǁq,consonant,click,lateral,voiceless,q-accompaniment
œq,ǂq,consonant,click,palatoalveolar,voiceless,q-accompaniment
!r,ǃr,consonant,click,alveolar,voiceless,r-accompaniment
tr,tr,consonant,stop,alveolar,voiceless,rhotic
ÿ},ʈɽ,consonant,stop,retroflex,voiceless,rhotic
!s,ǃs,consonant,click,alveolar,voiceless,s-accompaniment
!S,ǃʃ,consonant,click,alveolar,voiceless,S-accompaniment
NEW,s̩,consonant,fricative,alveolar,voiceless,syllabic
!t,ǃt,consonant,click,alveolar,voiceless,t-accompaniment
ts$,ts̀,consonant,affricate,alveolar,voiceless,tense
c$þ,c̀ɕ,consonant,affricate,palatal-to-alveolopalatal,voiceless,tense
tS$,tʃ̀,consonant,affricate,postalveolar,voiceless,tense
s$,s̀,consonant,fricative,alveolar,voiceless,tense
Â$,ɬ̀,consonant,fricative,lateral,voiceless,tense
S$,ʃ̀,consonant,fricative,postalveolar,voiceless,tense
X$,χ̀,consonant,fricative,uvular,voiceless,tense
x$,x̀,consonant,fricative,velar,voiceless,tense
t$,t̀,consonant,stop,alveolar,voiceless,tense
p$,p̀,consonant,stop,bilabial,voiceless,tense
t$5,t̪̀,consonant,stop,dental,voiceless,tense
t5$,t̪̀,consonant,stop,dental,voiceless,tense
k$,k̀,consonant,stop,velar,voiceless,tense
AUTO(s̀),s̀ʲ,consonant,fricative,alveolar,voiceless,tense_palatalized
AUTO(x̀),xʲ̀,consonant,fricative,velar,voiceless,tense_palatalized
AUTO(x̀),x̀ʲ,consonant,fricative,velar,voiceless,tense_palatalized
AUTO(t̪̀),tʲ̪̀,consonant,stop,dental,voiceless,tense_palatalized
AUTO(t̪̀),t̪̀ʲ,consonant,stop,dental,voiceless,tense_palatalized
AUTO(k̀),kʲ̀,consonant,stop,velar,voiceless,tense_palatalized
s&,š,consonant,fricative,alveolar,voiceless,trilled
NEW_PARAMETER,tʃ̚,consonant,affricate,postalveolar,voiceless,unreleased
NEW_PARAMETER,s̚,consonant,fricative,alveolar,voiceless,unreleased
NEW_PARAMETER,h̚,consonant,fricative,glottal,voiceless,unreleased
NEW_PARAMETER,ʃ̚,consonant,fricative,postalveolar,voiceless,unreleased
NEW_PARAMETER,t̚,consonant,stop,alveolar,voiceless,unreleased
NEW_PARAMETER,p̚,consonant,stop,bilabial,voiceless,unreleased
NEW_PARAMETER,t̪̚,consonant,stop,dental,voiceless,unreleased
NEW_PARAMETER,ʔ̚,consonant,stop,glottal,voiceless,unreleased
NEW_PARAMETER,c̚,consonant,stop,palatal,voiceless,unreleased
NEW_PARAMETER,q̚,consonant,stop,uvular,voiceless,unreleased
NEW_PARAMETER,k̚,consonant,stop,velar,voiceless,unreleased
NEW_PARAMETER,sᵑ,consonant,fricative,alveolar,voiceless,velar-postnasalized
NEW_PARAMETER,ʃᵑ,consonant,fricative,postalveolar,voiceless,velar-postnasalized
Nc,ᵑc,consonant,stop,palatal,voiceless,velar-prenasalized
sÄ,sˠ,consonant,fricative,alveolar,voiceless,velarized
AUTO(f),fˠ,consonant,fricative,labiodental,voiceless,velarized
º¥ì,ɓ̥ˠ,consonant,implosive,bilabial,voiceless,velarized
tÄ,tˠ,consonant,stop,alveolar,voiceless,velarized
pì,pˠ,consonant,stop,bilabial,voiceless,velarized
AUTO(t̪),t̪ˠ,consonant,stop,dental,voiceless,velarized
t5s5ú,t̪s̪ʱ,consonant,affricate,dental,voiceless,voiced-aspirated
tSú,tʃʱ,consonant,affricate,postalveolar,voiceless,voiced-aspirated
tú,tʱ,consonant,stop,alveolar,voiceless,voiced-aspirated
pú,pʱ,consonant,stop,bilabial,voiceless,voiced-aspirated
NEW,pʱ,consonant,stop,bilabial,voiceless,voiced-aspirated
NEW,kʱ,consonant,stop,velar,voiceless,voiced-aspirated
—n8,ǃn̥,consonant,click,alveolar,voiceless,voiceless_nasalized
‡n8,ʘn̥,consonant,click,bilabial,voiceless,voiceless_nasalized
–n8,ǀn̥,consonant,click,dental,voiceless,voiceless_nasalized
œn8,ǂn̥,consonant,click,palatoalveolar,voiceless,voiceless_nasalized
NEW_PARAMETER,tn̥,consonant,stop,alveolar,voiceless,voiceless-postnasalized
NEW_PARAMETER,pm̥,consonant,stop,bilabial,voiceless,voiceless-postnasalized
NEW_PARAMETER,kŋ̥,consonant,stop,velar,voiceless,voiceless-postnasalized
ø8cS,ɲ̥cʃ,consonant,affricate,palatal-to-postalveolar,voiceless,voiceless-prenasalized
n8s,n̥s,consonant,fricative,alveolar,voiceless,voiceless-prenasalized
M8f,ɱ̥f,consonant,fricative,labiodental,voiceless,voiceless-prenasalized
ø8S,ɲ̥ʃ,consonant,fricative,postalveolar,voiceless,voiceless-prenasalized
—x,ǃx,consonant,click,alveolar,voiceless,x-accompaniment
‡x,ʘx,consonant,click,bilabial,voiceless,x-accompaniment
–x,ǀx,consonant,click,dental,voiceless,x-accompaniment
„x,ǁx,consonant,click,lateral,voiceless,x-accompaniment
œx,ǂx,consonant,click,palatoalveolar,voiceless,x-accompaniment
!z,ǃz,consonant,click,alveolar,voiceless,z-accompaniment
!Z,ǃʒ,consonant,click,alveolar,voiceless,Z-accompaniment
NEW_PARAMETER,xːːː,consonant,fricative,velar,voiceless_extra-extra-long,plain
ttSS,tːʃː,consonant,affricate,alveolopalatal,voiceless_extra-long,plain
NEW_PARAMETER,tʰˑ,consonant,stop,alveolar,voiceless_half-long,aspirated
NEW_PARAMETER,pʰˑ,consonant,stop,bilabial,voiceless_half-long,aspirated
NEW_PARAMETER,kʰˑ,consonant,stop,velar,voiceless_half-long,aspirated
NEW_PARAMETER,sˑ,consonant,fricative,alveolar,voiceless_half-long,plain
NEW_PARAMETER,hˑ,consonant,fricative,glottal,voiceless_half-long,plain
NEW_PARAMETER,ʃˑ,consonant,fricative,postalveolar,voiceless_half-long,plain
NEW_PARAMETER,tˑ,consonant,stop,alveolar,voiceless_half-long,plain
NEW_PARAMETER,pˑ,consonant,stop,bilabial,voiceless_half-long,plain
NEW_PARAMETER,kˑ,consonant,stop,velar,voiceless_half-long,plain
AUTO(tʃʰ),tʃʰː,consonant,affricate,postalveolar,voiceless_long,aspirated
AUTO(pʰ),pʰː,consonant,stop,bilabial,voiceless_long,aspirated
AUTO(t̪ʰ),t̪ʰː,consonant,stop,dental,voiceless_long,aspirated
NEW,tʰː,consonant,stop,alveolar,voiceless_long,aspirated
AUTO(ʈʰ),ʈʰː,consonant,stop,retroflex,voiceless_long,aspirated
AUTO(kʰ),kʰː,consonant,stop,velar,voiceless_long,aspirated
AUTO(tsʼ),tsʼː,consonant,affricate,alveolar,voiceless_long,glottalized
AUTO(tɬʼ),tɬʼː,consonant,affricate,lateral,voiceless_long,glottalized
AUTO(tʃʼ),tʃːʼ,consonant,affricate,postalveolar,voiceless_long,glottalized
AUTO(tʃʼ),tʃʼː,consonant,affricate,postalveolar,voiceless_long,glottalized
AUTO(sʼ),sʼː,consonant,fricative,alveolar,voiceless_long,glottalized
AUTO(kʷʼ),kːʼʷ,consonant,stop,velar,voiceless_long,glottalized_labialized
AUTO(kʷʼ),kʷʼː,consonant,stop,velar,voiceless_long,glottalized_labialized
AUTO(qʼʷ),qʼʷː,consonant,ejective,uvular,voiceless_long,labialized
AUTO(kʼʷ),kʼʷː,consonant,ejective,velar,voiceless_long,labialized
hw:,hʷː,consonant,fricative,glottal,voiceless_long,labialized
AUTO(ɬʷ),ɬʷː,consonant,fricative,lateral,voiceless_long,labialized
AUTO(ħʷ),ħʷː,consonant,fricative,pharyngeal,voiceless_long,labialized
AUTO(ʃʷ),ʃʷː,consonant,fricative,postalveolar,voiceless_long,labialized
AUTO(χʷ),χʷː,consonant,fricative,uvular,voiceless_long,labialized
AUTO(xʷ),xʷː,consonant,fricative,velar,voiceless_long,labialized
qw:,qʷː,consonant,stop,uvular,voiceless_long,labialized
kw:,kʷː,consonant,stop,velar,voiceless_long,labialized
AUTO(tsʲ),tsːʲ,consonant,affricate,alveolar,voiceless_long,palatalized
AUTO(sʲ),sʲː,consonant,fricative,alveolar,voiceless_long,palatalized
AUTO(tʲ),tːʲ,consonant,stop,alveolar,voiceless_long,palatalized
AUTO(tʲ),tʲː,consonant,stop,alveolar,voiceless_long,palatalized
AUTO(sˤ),sˤː,consonant,fricative,alveolar,voiceless_long,pharyngealized
s5Ö:,s̪ˤː,consonant,fricative,dental,voiceless_long,pharyngealized
AUTO(s̻ˤ),s̻ˤː,consonant,fricative,laminal-alveolar,voiceless_long,pharyngealized
AUTO(tˤ),tˤː,consonant,stop,alveolar,voiceless_long,pharyngealized
t5Ö:,t̪ˤː,consonant,stop,dental,voiceless_long,pharyngealized
AUTO(ʔˤ),ʔˤː,consonant,stop,glottal,voiceless_long,pharyngealized
NEW,tsː,consonant,affricate,alveolar,voiceless_long,plain
ttS,tːʃ,consonant,affricate,alveolopalatal,voiceless_long,plain
t5s5:,t̪s̪ː,consonant,affricate,dental,voiceless_long,plain
AUTO(t̪θ),t̪ːθ,consonant,affricate,interdental,voiceless_long,plain
AUTO(tɬ),tɬː,consonant,affricate,lateral,voiceless_long,plain
AUTO(cç),cçː,consonant,affricate,palatal,voiceless_long,plain
NEW,tʃː,consonant,affricate,postalveolar,voiceless_long,plain
AUTO(ʈʂ),ʈʂː,consonant,affricate,retroflex,voiceless_long,plain
AUTO(tʼ),tːʼ,consonant,ejective,alveolar,voiceless_long,plain
AUTO(tʼ),tʼː,consonant,ejective,alveolar,voiceless_long,plain
AUTO(pʼ),pʼː,consonant,ejective,bilabial,voiceless_long,plain
AUTO(qʼ),qʼː,consonant,ejective,uvular,voiceless_long,plain
AUTO(kʼ),kːʼ,consonant,ejective,velar,voiceless_long,plain
AUTO(kʼ),kʼː,consonant,ejective,velar,voiceless_long,plain
ss,sː,consonant,fricative,alveolar,voiceless_long,plain
s5:,s̪ː,consonant,fricative,dental,voiceless_long,plain
AUTO(h),hː,consonant,fricative,glottal,voiceless_long,plain
AUTO(θ),θː,consonant,fricative,interdental,voiceless_long,plain
f:,fː,consonant,fricative,labiodental,voiceless_long,plain
ff,fː,consonant,fricative,labiodental,voiceless_long,plain
AUTO(s̻),s̻ː,consonant,fricative,laminal-alveolar,voiceless_long,plain
AUTO(ɬ),ɬː,consonant,fricative,lateral,voiceless_long,plain
AUTO(ç),çː,consonant,fricative,palatal,voiceless_long,plain
AUTO(ħ),ħː,consonant,fricative,pharyngeal,voiceless_long,plain
S:,ʃː,consonant,fricative,postalveolar,voiceless_long,plain
SS,ʃː,consonant,fricative,postalveolar,voiceless_long,plain
AUTO(ʂ),ʂː,consonant,fricative,retroflex,voiceless_long,plain
X:,χː,consonant,fricative,uvular,voiceless_long,plain
x:,xː,consonant,fricative,velar,voiceless_long,plain
tt,tː,consonant,stop,alveolar,voiceless_long,plain
p:,pː,consonant,stop,bilabial,voiceless_long,plain
pp,pː,consonant,stop,bilabial,voiceless_long,plain
t5:,t̪ː,consonant,stop,dental,voiceless_long,plain
AUTO(ʔ),ʔː,consonant,stop,glottal,voiceless_long,plain
AUTO(k͡p),k͡pː,consonant,stop,labiovelar,voiceless_long,plain
AUTO(c),cː,consonant,stop,palatal,voiceless_long,plain
AUTO(ʈ),ʈː,consonant,stop,retroflex,voiceless_long,plain
q:,qː,consonant,stop,uvular,voiceless_long,plain
k:,kː,consonant,stop,velar,voiceless_long,plain
kk,kː,consonant,stop,velar,voiceless_long,plain
AUTO(t),t̃,consonant,stop,alveolar,voiceless_nasalized,plain
AUTO(p),p̃,consonant,stop,bilabial,voiceless_nasalized,plain
AUTO(k͡p),k̃͡p̃,consonant,stop,labiovelar,voiceless_nasalized,plain
AUTO(k),k̃,consonant,stop,velar,voiceless_nasalized,plain
NEW,r̥r,consonant,trill,alveolar,voiceless_to_voiced,plain
tz',tzʼ,consonant,affricate,alveolar,voiceless-to-voiced,glottalized
tz’,tzʼ,consonant,affricate,alveolar,voiceless-to-voiced,glottalized
tz,tz,consonant,affricate,alveolar,voiceless-to-voiced,plain
pv,pv,consonant,affricate,labiodental,voiceless-to-voiced,plain
s5v,s̪v,consonant,fricative,dental-to-labiodental,voiceless-to-voiced,plain
NEW,Cʷ,consonant,,,,labialized
NEW,Cʷː,consonant,,,,labialized_long
NEW,Cː,consonant,,,,long
NEW,C,consonant,,,,
NEW_PARAMETER,+,morpheme,morpheme,morpheme,morpheme,morpheme
NEW_PARAMETER,.,syllable,syllable,syllable,syllable,syllable
i°,i̺,vowel,high,front_unrounded,apical,plain
NEW_PARAMETER,u̘ˑ,vowel,high,back_rounded,ATR,half-long
NEW_PARAMETER,i̘ˑ,vowel,high,front_unrounded,ATR,half-long
NEW_PARAMETER,a̘ˑ,vowel,low,central_unrounded,ATR,half-long
NEW_PARAMETER,ɔ̘ˑ,vowel,lower-mid,back_rounded,ATR,half-long
NEW,o̘,vowel,higher-mid,back_rounded,ATR,plain
a1,a̠,vowel,low,central_unrounded,ATR,plain
NEW,a̘,vowel,low,central_unrounded,ATR,plain
U1,ʊ̘,vowel,lower-high,back_rounded,ATR,plain
I1,ɪ̘,vowel,lower-high,front_unrounded,ATR,plain
1,ɔ̘,vowel,lower-mid,back_rounded,ATR,plain
E1,ɛ̘,vowel,lower-mid,front_unrounded,ATR,plain
AUTO(a̠),a̠ː,vowel,low,central_unrounded,ATR_long,plain
AUTO(ə),əːː,vowel,mid,central_unrounded,extra-long,plain
uÐ/,ṳʔ,vowel,high,back_rounded,glottalized,breathy
oÐ/,o̤ʔ,vowel,higher-mid,back_rounded,glottalized,breathy
aÐ/,a̤ʔ,vowel,low,central_unrounded,glottalized,breathy
u/,uʔ,vowel,high,back_rounded,glottalized,plain
NEW,uˀ,vowel,high,back_rounded,glottalized,plain
NEW,ɨˀ,vowel,high,central_unrounded,glottalized,plain
i/,iʔ,vowel,high,front_unrounded,glottalized,plain
NEW,iˀ,vowel,high,front_unrounded,glottalized,plain
NEW,oˀ,vowel,higher_mid,back_rounded,glottalized,plain
o/,oʔ,vowel,higher-mid,back_rounded,glottalized,plain
e/,eʔ,vowel,higher-mid,front_unrounded,glottalized,plain
NEW,eˀ,vowel,higher-mid,front_unrounded,glottalized,plain
a/,aʔ,vowel,low,central_unrounded,glottalized,plain
NEW,aˀ,vowel,low,central_unrounded,glottalized,plain
NEW,ɛˀ,vowel,lower_mid,front_unrounded,glottalized,plain
/,ɔʔ,vowel,lower-mid,back_rounded,glottalized,plain
NEW,ɔˀ,vowel,lower-mid,back_rounded,glottalized,plain
E/,ɛʔ,vowel,lower-mid,front_unrounded,glottalized,plain
NEW,əˀ,vowel,mid,central_unrounded,glottalized,plain
o)Ð/,õ̤ʔ,vowel,higher-mid,back_rounded,glottalized_nasalized,breathy
a)Ð/,ã̤ʔ,vowel,low,central_unrounded,glottalized_nasalized,breathy
u)/,ũʔ,vowel,high,back_rounded,glottalized_nasalized,plain
i)/,ĩʔ,vowel,high,front_unrounded,glottalized_nasalized,plain
a)/,ãʔ,vowel,low,central_unrounded,glottalized_nasalized,plain
ã/,ãʔ,vowel,low,central_unrounded,glottalized_nasalized,plain
)/,ɔ̃ʔ,vowel,lower-mid,back_rounded,glottalized_nasalized,plain
E)/,ɛ̃ʔ,vowel,lower-mid,front_unrounded,glottalized_nasalized,plain
u/u,uʔu,vowel,high,back_rounded,interrupted,plain
ö/ö,ɨʔɨ,vowel,high,central_unrounded,interrupted,plain
i/i,iʔi,vowel,high,front_unrounded,interrupted,plain
o/o,oʔo,vowel,higher-mid,back_rounded,interrupted,plain
e/e,eʔe,vowel,higher-mid,front_unrounded,interrupted,plain
a/a,aʔa,vowel,low,central_unrounded,interrupted,plain
u)/u),ũʔũ,vowel,high,back_rounded,interrupted_nasalized,plain
®)/®),ɨ̃ʔɨ̃,vowel,high,central_unrounded,interrupted_nasalized,plain
ö)/ö),ɨ̃ʔɨ̃,vowel,high,central_unrounded,interrupted_nasalized,plain
i)/i),ĩʔĩ,vowel,high,front_unrounded,interrupted_nasalized,plain
