Grapheme	Name	Alias	advancedTongueRoot	anterior	approximant	back	click	consonantal	constrictedGlottis	continuant	coronal	delayedRelease	distributed	dorsal	epilaryngealSource	fortis	front	high	labial	labiodental	lateral	long	low	loweredLarynxImplosive	nasal	periodicGlottalSource	raisedLarynxEjective	retractedTongueRoot	round	short	sonorant	spreadGlottis	stress	strident	syllabic	tap	tense	tone	trill
bʱː	latin small letter b - modifier letter small h with hook - modifier letter triangular colon		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	+	0	-	-	+	-	0	-	-	-	+	-	0	-	-	0	0	-
bʲ	latin small letter b - modifier letter small j		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	+	-	-	-	-	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
bʲː	latin small letter b - modifier letter small j - modifier letter triangular colon		0	0	-	-	-	+	-	-	-	-	0	+	-	-	+	+	+	-	-	+	-	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
bʷ	latin small letter b - modifier letter small w		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	+	-	-	-	-	0	-	-	0	0	-
bʷː	latin small letter b - modifier letter small w - modifier letter triangular colon		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	+	0	-	-	+	-	0	+	-	-	-	-	0	-	-	0	0	-
bʷˠ	latin small letter b - modifier letter small w - modifier letter small gamma		0	0	-	-	-	+	-	-	-	-	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	+	-	-	-	-	0	-	-	0	0	-
bʼ	latin small letter b - modifier letter apostrophe		0	0	-	0	-	+	+	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	-	+	0	-	-	-	-	-	0	-	-	0	0	-
bˀ	latin small letter b - modifier letter glottal stop		0	0	-	0	-	+	+	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
bː	latin small letter b - modifier letter triangular colon		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	+	0	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
b˞	latin small letter b - modifier letter rhotic hook		0	+	-	0	-	+	-	-	+	-	+	+	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	-	-	+	-	-	0	0	-
bˠ	latin small letter b - modifier letter small gamma		0	0	-	-	-	+	-	-	-	-	0	+	-	-	-	+	+	-	-	-	-	-	-	+	-	0	-	-	-	-	-	0	-	-	0	0	-
bˤ	latin small letter b - modifier letter small reversed glottal stop		-	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	+	-	-	-	-	-	0	-	-	0	0	-
bˤː	latin small letter b - modifier letter small reversed glottal stop - modifier letter triangular colon		-	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	+	0	-	-	+	-	+	-	-	-	-	-	0	-	-	0	0	-
b̤	latin small letter b - combining diaeresis below		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	+	-	0	-	-	0	0	-
b̤v̤	latin small letter b - combining diaeresis below - latin small letter v - combining diaeresis below		0	0	-	0	-	+	-	-	-	+	0	-	-	-	0	0	+	+	-	-	0	-	-	+	-	0	-	-	-	+	-	0	-	-	0	0	-
b̤ʱ	latin small letter b - combining diaeresis below - modifier letter small h with hook		0	0	-	0	-	+	-	-	-	-	0	-	-	-	0	0	+	-	-	-	0	-	-	+	-	0	-	-	-	+	-	0	-	-	0	0	-
